Data_Medicao,PRECIPITACAO_TOTAL_MENSAL_AUTMM,PRESSAO_ATMOSFERICA_MEDIA_MENSAL_AUTMB,TEMPERATURA_MEDIA_MENSAL_AUT°C,VENTO_VELOCIDADE_MEDIA_MENSAL_AUTM/S,Nome_Estacao,Codigo_Estacao,Latitude,Longitude,Altitude,Situacao_Estacao,Data_Inicial_Estacao,Data_Final_Estacao,Periodicidade_Medicao_Estacao
2010-03-31,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2010-04-30,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2010-05-31,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2010-06-30,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2010-07-31,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2010-08-31,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2010-09-30,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2010-10-31,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2010-11-30,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2010-12-31,"206,2",947,"23,8","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-01-31,"181,6","947,9","24,7","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-02-28,"307,8","949,7","24,6","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-03-31,244,950,24,"2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-04-30,"92,8","952,3","22,8","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-05-31,"14,6","954,7","19,4","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-06-30,"133,6","954,4","17,4","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-07-31,"149,2","954,2","19,4","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-08-31,"39,8","953,6","20,4","2,4",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-09-30,29,"954,2","22,3","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-10-31,"205,4",950,23,"2,4",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-11-30,"110,8",950,"23,5","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2011-12-31,"44,2","948,5","25,2","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-01-31,"138,6","949,4","23,9","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-02-29,175,"950,3","25,9",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-03-31,"62,6","951,6","24,7","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-04-30,"143,8","951,6","22,6","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-05-31,"74,4","954,9","19,5","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-06-30,"286,8","954,5","18,4","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-07-31,"19,2","955,1","18,5","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-08-31,"2,6","956,9","22,5","2,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-09-30,"67,2","953,6","23,8","2,5",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-10-31,"52,2","950,2","25,3","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-11-30,"99,2","948,9","24,7","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2012-12-31,"162,6","948,8",26,2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-01-31,97,950,"24,3","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-02-28,"373,2","950,4","23,9","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-03-31,"205,2",951,"23,8","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-04-30,"148,6","953,1","21,9",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-05-31,"170,6","953,6","20,6","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-06-30,255,"954,4","18,7","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-07-31,"80,8","956,5",18,2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-08-31,"2,2","954,9","19,4","2,6",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-09-30,"75,4","953,1","22,2","2,4",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-10-31,"209,8","951,7","23,1","2,4",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-11-30,"73,6","949,8","24,5","2,6",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2013-12-31,"70,4",948,"25,6","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-01-31,"170,8","951,4","25,4","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-02-28,180,"950,5","26,3","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-03-31,"307,6","951,3","24,2",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-04-30,"147,6","952,9","22,7",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-05-31,"114,6","953,8","19,7",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-06-30,127,"954,6","19,2","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-07-31,"120,2","957,2","18,5","2,4",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-08-31,"41,8","955,3","21,7","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-09-30,"139,4","952,3","22,8","2,6",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-10-31,"48,4","952,1","25,5","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-11-30,"127,2","949,8","24,4","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2014-12-31,218,"949,8",25,"2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-01-31,235,"951,7","25,8","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-02-28,206,"950,5","24,6","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-03-31,"275,6","951,2","24,1","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-04-30,"83,8","952,5","23,5","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-05-31,"158,8","954,5","19,7","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-06-30,"10,2","956,5","19,7","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-07-31,329,"955,1","18,6","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-08-31,47,"954,6","22,7","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-09-30,214,"951,1","23,3","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-10-31,159,"951,3","24,6","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-11-30,267,"949,2","23,7",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2015-12-31,245,"950,7","24,2","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-01-31,"300,2",949,"25,3","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-02-29,"242,8","951,2",25,"1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-03-31,"88,2","952,5","24,4",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-04-30,"94,6","952,4","25,3","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-05-31,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-06-30,"73,2","957,1","16,9","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-07-31,60,"955,4","19,6",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-08-31,132,"954,2","20,4","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-09-30,37,"954,3","21,1",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-10-31,"128,2","951,2","23,1","2,4",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-11-30,"34,8",950,"24,8","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2016-12-31,"196,4",950,"24,4","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-01-31,"309,2","950,6","24,6","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-02-28,"135,8","950,3",26,2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-03-31,146,"951,6","24,9",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-04-30,"146,2","952,9",22,"2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-05-31,"278,6","953,4","21,1",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-06-30,98,"955,9","18,6","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-07-31,0,"959,5",19,"2,5",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-08-31,"130,6","954,1","21,2","2,5",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-09-30,"29,8","954,1",26,"2,5",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-10-31,"233,6","950,7","23,1","2,4",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-11-30,"129,2","949,1","23,6","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2017-12-31,"194,2","948,9","24,9","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-01-31,325,"950,2","24,1",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-02-28,"81,8","950,3","24,3",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-03-31,"203,8",950,"25,4","1,4",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-04-30,"24,6","954,1","24,3","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-05-31,"44,4","955,1","21,2","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-06-30,"62,4","955,8","19,4","1,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-07-31,"5,4","955,5","21,2","1,5",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-08-31,"224,2","955,9","18,6","1,6",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-09-30,"130,4","951,8","21,9","1,6",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-10-31,"288,2","950,6",23,"1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-11-30,"156,2","950,1","24,2","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2018-12-31,"105,2","950,5","25,9","1,6",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-01-31,"187,4",952,"26,6","1,5",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-02-28,118,950,"25,6","1,6",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-03-31,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-04-30,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-05-31,"62,4","953,2","21,4","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-06-30,"80,2","956,3","21,2","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-07-31,"31,6","955,8","19,7","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-08-31,",6","956,7","21,4","2,5",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-09-30,"58,8","952,6","24,4","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-10-31,"105,6","950,9","26,3","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-11-30,"72,4","949,3","25,7","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2019-12-31,"351,2","949,9","24,4","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-01-31,154,"949,2","25,1","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-02-29,"144,2","950,6","25,1","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-03-31,null,952,"25,4","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-04-30,null,"953,8","22,7",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-05-31,"54,8",955,"19,5","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-06-30,"143,8","954,6","20,5","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-07-31,"23,2","954,8","19,9",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-08-31,"163,8","955,2","20,6","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-09-30,"9,2","952,3","26,3","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-10-31,"142,4","950,2","25,7","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-11-30,"54,8","950,6","25,4","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2020-12-31,"181,6","949,6","24,7",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-01-31,"333,2",950,"24,1","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-02-28,"13,6","949,5","24,8","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-03-31,132,"950,6","25,3","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-04-30,"2,8","953,2","23,1",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-05-31,"130,4","954,3","20,7","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-06-30,"32,2","955,2","18,8","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-07-31,"46,4","957,1","18,6","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-08-31,"25,8","955,3","22,2","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-09-30,"47,6","951,9","25,4","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-10-31,"398,6","951,2","21,9","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-11-30,41,"949,2","25,3","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2021-12-31,"45,6","948,2","26,3","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-01-31,157,"949,2","25,4",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-02-28,"79,2","949,9",26,2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-03-31,"269,4","950,8","24,8","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-04-30,111,"952,3",23,"1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-05-31,"35,8","954,4","18,9",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-06-30,"65,4","954,6","18,6","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-07-31,2,"954,5","21,7","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-08-31,"104,4",955,"19,8","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-09-30,"119,6","953,2","19,6","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-10-31,"187,6","951,1","22,7","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-11-30,null,"949,9","23,7","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2022-12-31,"141,2","948,6","24,5","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-01-31,null,null,24,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-02-28,null,"950,8","23,6","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-03-31,"293,2","951,7",25,"1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-04-30,"164,2",952,"22,7",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-05-31,"32,4","954,8","21,2","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-06-30,"91,6","956,5","18,9","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-07-31,"19,8","956,1","20,2",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-08-31,"50,6","953,3",22,2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-09-30,86,"951,5","25,2","2,4",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-10-31,"238,2","949,4",25,"2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-11-30,295,"949,3","25,3","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2023-12-31,"194,6","949,9","26,1",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-01-31,"145,6","949,9","25,7","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-02-29,"106,8","951,2","26,3","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-03-31,"24,4","951,2","26,9",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-04-30,null,"951,8","25,3","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-05-31,null,"953,3","22,4","1,8",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-06-30,null,"954,8","22,1",2,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-07-31,"42,4",957,"20,4","1,7",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-08-31,null,"955,2","23,2","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-09-30,44,952,"25,9","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-10-31,"80,2","950,7","25,4","2,2",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-11-30,"284,6","949,2","25,4","2,3",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2024-12-31,"206,8","948,9","24,5","2,1",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2025-01-31,null,"948,6","25,7","1,9",MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2025-02-28,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2025-03-31,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2025-04-30,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2025-05-31,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2025-06-30,null,null,null,null,MARINGA,A835,-23.40527777,-51.93277777,548.51,Pane,2010-01-01,2025-06-01,Mensal
2010-01-31,"361,2","1004,8","24,6",",3",MORRETES,A873,-25.50888888,-48.80861111,50.31,Operante,2010-01-01,2025-06-01,Mensal
2010-02-28,"119,2","1005,2","25,8",",2",MORRETES,A873,-25.50888888,-48.80861111,50.31,Operante,2010-01-01,2025-06-01,Mensal
2010-03-31,"343,8","1005,4","23,9",",2",MORRETES,A873,-25.50888888,-48.80861111,50.31,Operante,2010-01-01,2025-06-01,Mensal
2010-04-30,"286,8","1010,1","21,3",",2",MORRETES,A873,-25.50888888,-48.80861111,50.31,Operante,2010-01-01,2025-06-01,Mensal
2010-05-31,null,1010,"19,2",",3",MORRETES,A873,-25.50888888,-48.80861111,50.31,Operante,2010-01-01,2025-06-01,Mensal
2010-06-30,null,"1013,9","17,8",",3",MORRETES,A873,-25.50888888,-48.80861111,50.31,Operante,2010-01-01,2025-06-01,Mensal
2010-07-31,null,null,null,null,MORRETES,A873,-25.50888888,-48.80861111,50.31,Operante,2010-01-01,2025-06-01,Mensal
